[0 - 7f79b00db000]    0.113578 {2}{mapper}:   1d00000000000004 (TOC_PROC) can see 1e00000000000004(bw=10) 1e00000000000005(bw=200) 1e00000000000006(bw=10) 1e00000000000007(bw=10) 1e00000000000008(bw=10) 1e00000000000009(bw=200) 1e0000000000000a(bw=10) 1e0000000000000b(bw=10) 1e0000000000000c(bw=20)
[0 - 7f79b00db000]    0.113587 {2}{mapper}:   1d00000000000005 (TOC_PROC) can see 1e00000000000004(bw=10) 1e00000000000005(bw=10) 1e00000000000006(bw=200) 1e00000000000007(bw=10) 1e00000000000008(bw=10) 1e00000000000009(bw=10) 1e0000000000000a(bw=200) 1e0000000000000b(bw=10) 1e0000000000000c(bw=20)
[1 - 7f76ec084000]    0.113276 {2}{mapper}: Memories on rank 1:
[1 - 7f76ec084000]    0.113289 {2}{mapper}:   1a00010000000000 (GPU_FB_MEM)
[0 - 7f79b00db000]    0.113595 {2}{mapper}:   1d00000000000006 (TOC_PROC) can see 1e00000000000004(bw=10) 1e00000000000005(bw=10) 1e00000000000006(bw=10) 1e00000000000007(bw=200) 1e00000000000008(bw=10) 1e00000000000009(bw=10) 1e0000000000000a(bw=10) 1e0000000000000b(bw=200) 1e0000000000000c(bw=20)
[1 - 7f76ec084000]    0.113297 {2}{mapper}:   1a00010000000001 (GPU_FB_MEM)
[1 - 7f76ec084000]    0.113305 {2}{mapper}:   1a00010000000002 (GPU_FB_MEM)
[1 - 7f76ec084000]    0.113312 {2}{mapper}:   1a00010000000003 (GPU_FB_MEM)
[1 - 7f76ec084000]    0.113319 {2}{mapper}:   1e00010000000000 (SYSTEM_MEM)
[1 - 7f76ec084000]    0.113326 {2}{mapper}:   1e00010000000001 (SYSTEM_MEM)
[1 - 7f76ec084000]    0.113334 {2}{mapper}:   1e00010000000002 (SOCKET_MEM)
[1 - 7f76ec084000]    0.113341 {2}{mapper}:   1e00010000000003 (SOCKET_MEM)
[1 - 7f76ec084000]    0.113349 {2}{mapper}:   1e00010000000004 (GPU_FB_MEM)
[1 - 7f76ec084000]    0.113357 {2}{mapper}:   1e00010000000005 (GPU_FB_MEM)
[1 - 7f76ec084000]    0.113365 {2}{mapper}:   1e00010000000006 (GPU_FB_MEM)
[1 - 7f76ec084000]    0.113372 {2}{mapper}:   1e00010000000007 (GPU_FB_MEM)
[1 - 7f76ec084000]    0.113379 {2}{mapper}:   1e00010000000008 (GPU_DYNAMIC_MEM)
[1 - 7f76ec084000]    0.113387 {2}{mapper}:   1e00010000000009 (GPU_DYNAMIC_MEM)
[1 - 7f76ec084000]    0.113394 {2}{mapper}:   1e0001000000000a (GPU_DYNAMIC_MEM)
[1 - 7f76ec084000]    0.113402 {2}{mapper}:   1e0001000000000b (GPU_DYNAMIC_MEM)
[1 - 7f76ec084000]    0.113409 {2}{mapper}:   1e0001000000000c (Z_COPY_MEM)
[1 - 7f76ec084000]    0.113417 {2}{mapper}:   1e0001000000000d (HDF_MEM)
[1 - 7f76ec084000]    0.113424 {2}{mapper}:   1e0001000000000e (FILE_MEM)
[1 - 7f76ec084000]    0.113432 {2}{mapper}: Processors on rank 1:
[1 - 7f76ec084000]    0.113440 {2}{mapper}:   1d00010000000000 (UTIL_PROC) can see 1e00010000000000(bw=100) 1e00010000000001(bw=100) 1e0001000000000c(bw=40) 1e0001000000000d(bw=5) 1e0001000000000e(bw=5)
[1 - 7f76ec084000]    0.113448 {2}{mapper}:   1d00010000000001 (LOC_PROC) can see 1e00010000000000(bw=100) 1e00010000000001(bw=100) 1e0001000000000c(bw=40) 1e0001000000000d(bw=5) 1e0001000000000e(bw=5)
[1 - 7f76ec084000]    0.113457 {2}{mapper}:   1d00010000000002 (OMP_PROC) can see 1e00010000000000(bw=100) 1e00010000000001(bw=100) 1e00010000000002(bw=140) 1e00010000000003(bw=129) 1e0001000000000c(bw=40)
[1 - 7f76ec084000]    0.113465 {2}{mapper}:   1d00010000000003 (TOC_PROC) can see 1e00010000000004(bw=200) 1e00010000000005(bw=10) 1e00010000000006(bw=10) 1e00010000000007(bw=10) 1e00010000000008(bw=200) 1e00010000000009(bw=10) 1e0001000000000a(bw=10) 1e0001000000000b(bw=10) 1e0001000000000c(bw=20)
[0 - 7f79b00db000]    0.113744 {2}{mapper}: Memories on rank 0:
[0 - 7f79b00db000]    0.113755 {2}{mapper}:   1a00000000000000 (GPU_FB_MEM)
[0 - 7f79b00db000]    0.113763 {2}{mapper}:   1a00000000000001 (GPU_FB_MEM)
[0 - 7f79b00db000]    0.113770 {2}{mapper}:   1a00000000000002 (GPU_FB_MEM)
[0 - 7f79b00db000]    0.113777 {2}{mapper}:   1a00000000000003 (GPU_FB_MEM)
[0 - 7f79b00db000]    0.113784 {2}{mapper}:   1e00000000000000 (SYSTEM_MEM)
[0 - 7f79b00db000]    0.113791 {2}{mapper}:   1e00000000000001 (SYSTEM_MEM)
[1 - 7f76ec084000]    0.113474 {2}{mapper}:   1d00010000000004 (TOC_PROC) can see 1e00010000000004(bw=10) 1e00010000000005(bw=200) 1e00010000000006(bw=10) 1e00010000000007(bw=10) 1e00010000000008(bw=10) 1e00010000000009(bw=200) 1e0001000000000a(bw=10) 1e0001000000000b(bw=10) 1e0001000000000c(bw=20)
[1 - 7f76ec084000]    0.113484 {2}{mapper}:   1d00010000000005 (TOC_PROC) can see 1e00010000000004(bw=10) 1e00010000000005(bw=10) 1e00010000000006(bw=200) 1e00010000000007(bw=10) 1e00010000000008(bw=10) 1e00010000000009(bw=10) 1e0001000000000a(bw=200) 1e0001000000000b(bw=10) 1e0001000000000c(bw=20)
