[1 - 7fa9b805a000]    0.115678 {2}{mapper}:   1e00010000000002 (SOCKET_MEM)
[1 - 7fa9b805a000]    0.115683 {2}{mapper}:   1e00010000000003 (SOCKET_MEM)
[1 - 7fa9b805a000]    0.115689 {2}{mapper}:   1e00010000000004 (GPU_FB_MEM)
[1 - 7fa9b805a000]    0.115694 {2}{mapper}:   1e00010000000005 (GPU_FB_MEM)
[1 - 7fa9b805a000]    0.115699 {2}{mapper}:   1e00010000000006 (GPU_FB_MEM)
[1 - 7fa9b805a000]    0.115705 {2}{mapper}:   1e00010000000007 (GPU_FB_MEM)
[1 - 7fa9b805a000]    0.115710 {2}{mapper}:   1e00010000000008 (GPU_DYNAMIC_MEM)
[1 - 7fa9b805a000]    0.115715 {2}{mapper}:   1e00010000000009 (GPU_DYNAMIC_MEM)
[1 - 7fa9b805a000]    0.115721 {2}{mapper}:   1e0001000000000a (GPU_DYNAMIC_MEM)
[1 - 7fa9b805a000]    0.115726 {2}{mapper}:   1e0001000000000b (GPU_DYNAMIC_MEM)
[1 - 7fa9b805a000]    0.115731 {2}{mapper}:   1e0001000000000c (Z_COPY_MEM)
[1 - 7fa9b805a000]    0.115737 {2}{mapper}:   1e0001000000000d (HDF_MEM)
[1 - 7fa9b805a000]    0.115742 {2}{mapper}:   1e0001000000000e (FILE_MEM)
[1 - 7fa9b805a000]    0.115748 {2}{mapper}: Processors on rank 1:
[1 - 7fa9b805a000]    0.115753 {2}{mapper}:   1d00010000000000 (UTIL_PROC) can see 1e00010000000000(bw=100) 1e00010000000001(bw=100) 1e0001000000000c(bw=40) 1e0001000000000d(bw=5) 1e0001000000000e(bw=5)
[1 - 7fa9b805a000]    0.115758 {2}{mapper}:   1d00010000000001 (LOC_PROC) can see 1e00010000000000(bw=100) 1e00010000000001(bw=100) 1e0001000000000c(bw=40) 1e0001000000000d(bw=5) 1e0001000000000e(bw=5)
[1 - 7fa9b805a000]    0.115764 {2}{mapper}:   1d00010000000002 (OMP_PROC) can see 1e00010000000000(bw=100) 1e00010000000001(bw=100) 1e00010000000002(bw=140) 1e00010000000003(bw=129) 1e0001000000000c(bw=40)
[1 - 7fa9b805a000]    0.115776 {2}{mapper}:   1d00010000000003 (TOC_PROC) can see 1e00010000000004(bw=200) 1e00010000000005(bw=10) 1e00010000000006(bw=10) 1e00010000000007(bw=10) 1e00010000000008(bw=200) 1e00010000000009(bw=10) 1e0001000000000a(bw=10) 1e0001000000000b(bw=10) 1e0001000000000c(bw=20)
[1 - 7fa9b805a000]    0.115782 {2}{mapper}:   1d00010000000004 (TOC_PROC) can see 1e00010000000004(bw=10) 1e00010000000005(bw=200) 1e00010000000006(bw=10) 1e00010000000007(bw=10) 1e00010000000008(bw=10) 1e00010000000009(bw=200) 1e0001000000000a(bw=10) 1e0001000000000b(bw=10) 1e0001000000000c(bw=20)
[1 - 7fa9b805a000]    0.115788 {2}{mapper}:   1d00010000000005 (TOC_PROC) can see 1e00010000000004(bw=10) 1e00010000000005(bw=10) 1e00010000000006(bw=200) 1e00010000000007(bw=10) 1e00010000000008(bw=10) 1e00010000000009(bw=10) 1e0001000000000a(bw=200) 1e0001000000000b(bw=10) 1e0001000000000c(bw=20)
[1 - 7fa9b805a000]    0.115793 {2}{mapper}:   1d00010000000006 (TOC_PROC) can see 1e00010000000004(bw=10) 1e00010000000005(bw=10) 1e00010000000006(bw=10) 1e00010000000007(bw=200) 1e00010000000008(bw=10) 1e00010000000009(bw=10) 1e0001000000000a(bw=10) 1e0001000000000b(bw=200) 1e0001000000000c(bw=20)
[1 - 7fa9b805a000]    0.116251 {2}{mapper}: Memories on rank 1:
[1 - 7fa9b805a000]    0.116263 {2}{mapper}:   1a00010000000000 (GPU_FB_MEM)
[1 - 7fa9b805a000]    0.116269 {2}{mapper}:   1a00010000000001 (GPU_FB_MEM)
