[1 - 7f6d843e6000]    0.125666 {2}{mapper}:   1e00010000000000 (SYSTEM_MEM)
[1 - 7f6d843e6000]    0.125671 {2}{mapper}:   1e00010000000001 (SYSTEM_MEM)
[1 - 7f6d843e6000]    0.125677 {2}{mapper}:   1e00010000000002 (SOCKET_MEM)
[1 - 7f6d843e6000]    0.125682 {2}{mapper}:   1e00010000000003 (SOCKET_MEM)
[1 - 7f6d843e6000]    0.125688 {2}{mapper}:   1e00010000000004 (GPU_FB_MEM)
[1 - 7f6d843e6000]    0.125694 {2}{mapper}:   1e00010000000005 (GPU_FB_MEM)
[1 - 7f6d843e6000]    0.125700 {2}{mapper}:   1e00010000000006 (GPU_FB_MEM)
[1 - 7f6d843e6000]    0.125705 {2}{mapper}:   1e00010000000007 (GPU_FB_MEM)
[1 - 7f6d843e6000]    0.125711 {2}{mapper}:   1e00010000000008 (GPU_DYNAMIC_MEM)
[1 - 7f6d843e6000]    0.125717 {2}{mapper}:   1e00010000000009 (GPU_DYNAMIC_MEM)
[1 - 7f6d843e6000]    0.125723 {2}{mapper}:   1e0001000000000a (GPU_DYNAMIC_MEM)
[1 - 7f6d843e6000]    0.125728 {2}{mapper}:   1e0001000000000b (GPU_DYNAMIC_MEM)
[1 - 7f6d843e6000]    0.125734 {2}{mapper}:   1e0001000000000c (Z_COPY_MEM)
[1 - 7f6d843e6000]    0.125740 {2}{mapper}:   1e0001000000000d (HDF_MEM)
[1 - 7f6d843e6000]    0.125745 {2}{mapper}:   1e0001000000000e (FILE_MEM)
[1 - 7f6d843e6000]    0.125751 {2}{mapper}: Processors on rank 1:
[1 - 7f6d843e6000]    0.125757 {2}{mapper}:   1d00010000000000 (UTIL_PROC) can see 1e00010000000000(bw=100) 1e00010000000001(bw=100) 1e0001000000000c(bw=40) 1e0001000000000d(bw=5) 1e0001000000000e(bw=5)
[1 - 7f6d843e6000]    0.125762 {2}{mapper}:   1d00010000000001 (LOC_PROC) can see 1e00010000000000(bw=100) 1e00010000000001(bw=100) 1e0001000000000c(bw=40) 1e0001000000000d(bw=5) 1e0001000000000e(bw=5)
[1 - 7f6d843e6000]    0.125768 {2}{mapper}:   1d00010000000002 (OMP_PROC) can see 1e00010000000000(bw=100) 1e00010000000001(bw=100) 1e00010000000002(bw=140) 1e00010000000003(bw=129) 1e0001000000000c(bw=40)
[1 - 7f6d843e6000]    0.125774 {2}{mapper}:   1d00010000000003 (TOC_PROC) can see 1e00010000000004(bw=200) 1e00010000000005(bw=10) 1e00010000000006(bw=10) 1e00010000000007(bw=10) 1e00010000000008(bw=200) 1e00010000000009(bw=10) 1e0001000000000a(bw=10) 1e0001000000000b(bw=10) 1e0001000000000c(bw=20)
[1 - 7f6d843e6000]    0.125780 {2}{mapper}:   1d00010000000004 (TOC_PROC) can see 1e00010000000004(bw=10) 1e00010000000005(bw=200) 1e00010000000006(bw=10) 1e00010000000007(bw=10) 1e00010000000008(bw=10) 1e00010000000009(bw=200) 1e0001000000000a(bw=10) 1e0001000000000b(bw=10) 1e0001000000000c(bw=20)
[1 - 7f6d843e6000]    0.125791 {2}{mapper}:   1d00010000000005 (TOC_PROC) can see 1e00010000000004(bw=10) 1e00010000000005(bw=10) 1e00010000000006(bw=200) 1e00010000000007(bw=10) 1e00010000000008(bw=10) 1e00010000000009(bw=10) 1e0001000000000a(bw=200) 1e0001000000000b(bw=10) 1e0001000000000c(bw=20)
[1 - 7f6d843e6000]    0.125798 {2}{mapper}:   1d00010000000006 (TOC_PROC) can see 1e00010000000004(bw=10) 1e00010000000005(bw=10) 1e00010000000006(bw=10) 1e00010000000007(bw=200) 1e00010000000008(bw=10) 1e00010000000009(bw=10) 1e0001000000000a(bw=10) 1e0001000000000b(bw=200) 1e0001000000000c(bw=20)
[1 - 7f6d843e6000]    0.125939 {2}{mapper}: Memories on rank 1:
[1 - 7f6d843e6000]    0.125948 {2}{mapper}:   1a00010000000000 (GPU_FB_MEM)
[1 - 7f6d843e6000]    0.125954 {2}{mapper}:   1a00010000000001 (GPU_FB_MEM)
[1 - 7f6d843e6000]    0.125959 {2}{mapper}:   1a00010000000002 (GPU_FB_MEM)
[1 - 7f6d843e6000]    0.125965 {2}{mapper}:   1a00010000000003 (GPU_FB_MEM)
[1 - 7f6d843e6000]    0.125970 {2}{mapper}:   1e00010000000000 (SYSTEM_MEM)
[1 - 7f6d843e6000]    0.125976 {2}{mapper}:   1e00010000000001 (SYSTEM_MEM)
[1 - 7f6d843e6000]    0.125981 {2}{mapper}:   1e00010000000002 (SOCKET_MEM)
[1 - 7f6d843e6000]    0.125987 {2}{mapper}:   1e00010000000003 (SOCKET_MEM)
[1 - 7f6d843e6000]    0.125993 {2}{mapper}:   1e00010000000004 (GPU_FB_MEM)
[1 - 7f6d843e6000]    0.125998 {2}{mapper}:   1e00010000000005 (GPU_FB_MEM)
[1 - 7f6d843e6000]    0.126004 {2}{mapper}:   1e00010000000006 (GPU_FB_MEM)
[1 - 7f6d843e6000]    0.126010 {2}{mapper}:   1e00010000000007 (GPU_FB_MEM)
[1 - 7f6d843e6000]    0.126015 {2}{mapper}:   1e00010000000008 (GPU_DYNAMIC_MEM)
[1 - 7f6d843e6000]    0.126021 {2}{mapper}:   1e00010000000009 (GPU_DYNAMIC_MEM)
[1 - 7f6d843e6000]    0.126027 {2}{mapper}:   1e0001000000000a (GPU_DYNAMIC_MEM)
[1 - 7f6d843e6000]    0.126032 {2}{mapper}:   1e0001000000000b (GPU_DYNAMIC_MEM)
[1 - 7f6d843e6000]    0.126038 {2}{mapper}:   1e0001000000000c (Z_COPY_MEM)
[1 - 7f6d843e6000]    0.126044 {2}{mapper}:   1e0001000000000d (HDF_MEM)
[1 - 7f6d843e6000]    0.126050 {2}{mapper}:   1e0001000000000e (FILE_MEM)
[1 - 7f6d843e6000]    0.126055 {2}{mapper}: Processors on rank 1:
[1 - 7f6d843e6000]    0.126061 {2}{mapper}:   1d00010000000000 (UTIL_PROC) can see 1e00010000000000(bw=100) 1e00010000000001(bw=100) 1e0001000000000c(bw=40) 1e0001000000000d(bw=5) 1e0001000000000e(bw=5)
[1 - 7f6d843e6000]    0.126067 {2}{mapper}:   1d00010000000001 (LOC_PROC) can see 1e00010000000000(bw=100) 1e00010000000001(bw=100) 1e0001000000000c(bw=40) 1e0001000000000d(bw=5) 1e0001000000000e(bw=5)
[1 - 7f6d843e6000]    0.126073 {2}{mapper}:   1d00010000000002 (OMP_PROC) can see 1e00010000000000(bw=100) 1e00010000000001(bw=100) 1e00010000000002(bw=140) 1e00010000000003(bw=129) 1e0001000000000c(bw=40)
[1 - 7f6d843e6000]    0.126094 {2}{mapper}:   1d00010000000003 (TOC_PROC) can see 1e00010000000004(bw=200) 1e00010000000005(bw=10) 1e00010000000006(bw=10) 1e00010000000007(bw=10) 1e00010000000008(bw=200) 1e00010000000009(bw=10) 1e0001000000000a(bw=10) 1e0001000000000b(bw=10) 1e0001000000000c(bw=20)
[1 - 7f6d843e6000]    0.126101 {2}{mapper}:   1d00010000000004 (TOC_PROC) can see 1e00010000000004(bw=10) 1e00010000000005(bw=200) 1e00010000000006(bw=10) 1e00010000000007(bw=10) 1e00010000000008(bw=10) 1e00010000000009(bw=200) 1e0001000000000a(bw=10) 1e0001000000000b(bw=10) 1e0001000000000c(bw=20)
[1 - 7f6d843e6000]    0.126107 {2}{mapper}:   1d00010000000005 (TOC_PROC) can see 1e00010000000004(bw=10) 1e00010000000005(bw=10) 1e00010000000006(bw=200) 1e00010000000007(bw=10) 1e00010000000008(bw=10) 1e00010000000009(bw=10) 1e0001000000000a(bw=200) 1e0001000000000b(bw=10) 1e0001000000000c(bw=20)
[1 - 7f6d843e6000]    0.126113 {2}{mapper}:   1d00010000000006 (TOC_PROC) can see 1e00010000000004(bw=10) 1e00010000000005(bw=10) 1e00010000000006(bw=10) 1e00010000000007(bw=200) 1e00010000000008(bw=10) 1e00010000000009(bw=10) 1e0001000000000a(bw=10) 1e0001000000000b(bw=200) 1e0001000000000c(bw=20)
[1 - 7f6d90018000]    0.130143 {2}{mapper}: SELECT_SHARDING_FUNCTOR for init_cublas<5>
[1 - 7f6d90018000]    0.130181 {2}{mapper}:   0 <- (0) (1) (2) (3)
[1 - 7f6d90018000]    0.130188 {2}{mapper}:   1 <- (4) (5) (6) (7)
[1 - 7f6d90018000]    0.130686 {2}{mapper}: SLICE_TASK for init_cublas<7>
[1 - 7f6d90018000]    0.130700 {2}{mapper}:   INPUT: <4>..<7>
[1 - 7f6d90018000]    0.130706 {2}{mapper}:   OUTPUT:
[1 - 7f6d90018000]    0.130712 {2}{mapper}:     <4>..<4> -> 1d00010000000003
[1 - 7f6d90018000]    0.130717 {2}{mapper}:     <5>..<5> -> 1d00010000000004
[1 - 7f6d90018000]    0.130722 {2}{mapper}:     <6>..<6> -> 1d00010000000005
[1 - 7f6d90018000]    0.130728 {2}{mapper}:     <7>..<7> -> 1d00010000000006
[1 - 7f6d90018000]    0.130980 {2}{mapper}: MAP_TASK for init_cublas(index_point=(4))<17>
[1 - 7f6d90018000]    0.130993 {2}{mapper}:   INPUT:
[1 - 7f6d90018000]    0.130998 {2}{mapper}:   TARGET PROCS: 1d00010000000003
[1 - 7f6d90018000]    0.131004 {2}{mapper}:   CHOSEN VARIANT: init_cublas
[1 - 7f6d90018000]    0.131009 {2}{mapper}:   OUTPUT INSTANCES:
[1 - 7f6d90018000]    0.131158 {2}{mapper}: MAP_TASK for init_cublas(index_point=(5))<19>
[1 - 7f6d90018000]    0.131169 {2}{mapper}:   INPUT:
[1 - 7f6d90018000]    0.131175 {2}{mapper}:   TARGET PROCS: 1d00010000000004
[1 - 7f6d90018000]    0.131180 {2}{mapper}:   CHOSEN VARIANT: init_cublas
[1 - 7f6d90018000]    0.131185 {2}{mapper}:   OUTPUT INSTANCES:
[1 - 7f6d90018000]    0.131306 {2}{mapper}: MAP_TASK for init_cublas(index_point=(6))<21>
[1 - 7f6d90018000]    0.131316 {2}{mapper}:   INPUT:
[1 - 7f6d90018000]    0.131322 {2}{mapper}:   TARGET PROCS: 1d00010000000005
[1 - 7f6d90018000]    0.131327 {2}{mapper}:   CHOSEN VARIANT: init_cublas
[1 - 7f6d90018000]    0.131332 {2}{mapper}:   OUTPUT INSTANCES:
