[1 - 7f4a6408b000]    0.166645 {2}{mapper}:   1d00010000000000 (UTIL_PROC) can see 1e00010000000000(bw=100) 1e00010000000001(bw=100) 1e0001000000000c(bw=40) 1e0001000000000d(bw=5) 1e0001000000000e(bw=5)
[1 - 7f4a6408b000]    0.166651 {2}{mapper}:   1d00010000000001 (LOC_PROC) can see 1e00010000000000(bw=100) 1e00010000000001(bw=100) 1e0001000000000c(bw=40) 1e0001000000000d(bw=5) 1e0001000000000e(bw=5)
[1 - 7f4a6408b000]    0.166657 {2}{mapper}:   1d00010000000002 (OMP_PROC) can see 1e00010000000000(bw=100) 1e00010000000001(bw=100) 1e00010000000002(bw=140) 1e00010000000003(bw=129) 1e0001000000000c(bw=40)
[1 - 7f4a6408b000]    0.166668 {2}{mapper}:   1d00010000000003 (TOC_PROC) can see 1e00010000000004(bw=200) 1e00010000000005(bw=10) 1e00010000000006(bw=10) 1e00010000000007(bw=10) 1e00010000000008(bw=200) 1e00010000000009(bw=10) 1e0001000000000a(bw=10) 1e0001000000000b(bw=10) 1e0001000000000c(bw=20)
[1 - 7f4a6408b000]    0.166674 {2}{mapper}:   1d00010000000004 (TOC_PROC) can see 1e00010000000004(bw=10) 1e00010000000005(bw=200) 1e00010000000006(bw=10) 1e00010000000007(bw=10) 1e00010000000008(bw=10) 1e00010000000009(bw=200) 1e0001000000000a(bw=10) 1e0001000000000b(bw=10) 1e0001000000000c(bw=20)
[1 - 7f4a6408b000]    0.166680 {2}{mapper}:   1d00010000000005 (TOC_PROC) can see 1e00010000000004(bw=10) 1e00010000000005(bw=10) 1e00010000000006(bw=200) 1e00010000000007(bw=10) 1e00010000000008(bw=10) 1e00010000000009(bw=10) 1e0001000000000a(bw=200) 1e0001000000000b(bw=10) 1e0001000000000c(bw=20)
[1 - 7f4a6408b000]    0.166686 {2}{mapper}:   1d00010000000006 (TOC_PROC) can see 1e00010000000004(bw=10) 1e00010000000005(bw=10) 1e00010000000006(bw=10) 1e00010000000007(bw=200) 1e00010000000008(bw=10) 1e00010000000009(bw=10) 1e0001000000000a(bw=10) 1e0001000000000b(bw=200) 1e0001000000000c(bw=20)
[1 - 7f4a6408b000]    0.166833 {2}{mapper}: Memories on rank 1:
[1 - 7f4a6408b000]    0.166842 {2}{mapper}:   1a00010000000000 (GPU_FB_MEM)
[1 - 7f4a6408b000]    0.166848 {2}{mapper}:   1a00010000000001 (GPU_FB_MEM)
[1 - 7f4a6408b000]    0.166853 {2}{mapper}:   1a00010000000002 (GPU_FB_MEM)
[1 - 7f4a6408b000]    0.166859 {2}{mapper}:   1a00010000000003 (GPU_FB_MEM)
[1 - 7f4a6408b000]    0.166864 {2}{mapper}:   1e00010000000000 (SYSTEM_MEM)
[1 - 7f4a6408b000]    0.166870 {2}{mapper}:   1e00010000000001 (SYSTEM_MEM)
[1 - 7f4a6408b000]    0.166875 {2}{mapper}:   1e00010000000002 (SOCKET_MEM)
[1 - 7f4a6408b000]    0.166881 {2}{mapper}:   1e00010000000003 (SOCKET_MEM)
[1 - 7f4a6408b000]    0.166887 {2}{mapper}:   1e00010000000004 (GPU_FB_MEM)
[1 - 7f4a6408b000]    0.166893 {2}{mapper}:   1e00010000000005 (GPU_FB_MEM)
[1 - 7f4a6408b000]    0.166899 {2}{mapper}:   1e00010000000006 (GPU_FB_MEM)
